The Full list of ASCII characters for Java:

charaters can be created like this

//the 'a' character:
char c = 0b0110_0001; 	//base 2 (you can omit the '_' character... it's just for visibility)
char c = 0141; 			//base 8
char c = 97;			//base 10
char c = 0x61;			//base 16



ASCII control characters non printable :

BASE2			   BASE8		BASE10	  BASE16
0b0101_1001        0131         89        0x59         : character Y= Y ( Capital letter Y )
0b0101_1010        0132         90        0x5a         : character Z= Z ( Capital letter Z )
0b0101_1011        0133         91        0x5b         : character [= [ ( square brackets or box brackets, opening bracket )
0b0101_1100        0134         92        0x5c         : character \= \ ( Backslash , reverse slash )
0b0101_1101        0135         93        0x5d         : character ]= ] ( box brackets or square brackets, closing bracket )
0b0101_1110        0136         94        0x5e         : character ^= ^ ( Circumflex accent or Caret )
0b0101_1111        0137         95        0x5f         : character _= _ ( underscore , understrike , underbar or low line )
0b0110_0000        0140         96        0x60         : character `= ` ( Grave accent )
0b0110_0001        0141         97        0x61         : character a= a ( Lowercase letter a , minuscule a )
0b0110_0010        0142         98        0x62         : character b= b ( Lowercase letter b , minuscule b )
0b0110_0011        0143         99        0x63         : character c= c ( Lowercase letter c , minuscule c )
0b0110_0100        0144        100        0x64         : character d= d ( Lowercase letter d , minuscule d )
0b0110_0101        0145        101        0x65         : character e= e ( Lowercase letter e , minuscule e )
0b0110_0110        0146        102        0x66         : character f= f ( Lowercase letter f , minuscule f )
0b0110_0111        0147        103        0x67         : character g= g ( Lowercase letter g , minuscule g )
0b0110_1000        0150        104        0x68         : character h= h ( Lowercase letter h , minuscule h )
0b0110_1001        0151        105        0x69         : character i= i ( Lowercase letter i , minuscule i )
0b0110_1010        0152        106        0x6a         : character j= j ( Lowercase letter j , minuscule j )
0b0110_1011        0153        107        0x6b         : character k= k ( Lowercase letter k , minuscule k )
0b0110_1100        0154        108        0x6c         : character l= l ( Lowercase letter l , minuscule l )
0b0110_1101        0155        109        0x6d         : character m= m ( Lowercase letter m , minuscule m )
0b0110_1110        0156        110        0x6e         : character n= n ( Lowercase letter n , minuscule n )
0b0110_1111        0157        111        0x6f         : character o= o ( Lowercase letter o , minuscule o )
0b0111_0000        0160        112        0x70         : character p= p ( Lowercase letter p , minuscule p )
0b0111_0001        0161        113        0x71         : character q= q ( Lowercase letter q , minuscule q )
0b0111_0010        0162        114        0x72         : character r= r ( Lowercase letter r , minuscule r )
0b0111_0011        0163        115        0x73         : character s= s ( Lowercase letter s , minuscule s )
0b0111_0100        0164        116        0x74         : character t= t ( Lowercase letter t , minuscule t )
0b0111_0101        0165        117        0x75         : character u= u ( Lowercase letter u , minuscule u )
0b0111_0110        0166        118        0x76         : character v= v ( Lowercase letter v , minuscule v )
0b0111_0111        0167        119        0x77         : character w= w ( Lowercase letter w , minuscule w )
0b0111_1000        0170        120        0x78         : character x= x ( Lowercase letter x , minuscule x )
0b0111_1001        0171        121        0x79         : character y= y ( Lowercase letter y , minuscule y )
0b0111_1010        0172        122        0x7a         : character z= z ( Lowercase letter z , minuscule z )
0b0111_1011        0173        123        0x7b         : character {= { ( braces or curly brackets, opening braces )
0b0111_1100        0174        124        0x7c         : character |= | ( vertical-bar, vbar, vertical line or vertical slash )
0b0111_1101        0175        125        0x7d         : character }= } ( curly brackets or braces, closing curly brackets )
0b0111_1110        0176        126        0x7e         : character ~= ~ ( Tilde ; swung dash )

ASCII Extended Characters (AS PART OF ISO-8859-1 OR ISO-LATIN-1) used by French for example:

0b1000_0000        0200        128        0x80         : character = Ç ( Majuscule C-cedilla )
0b1000_0001        0201        129        0x81         : character = ü ( letter u with umlaut or diaeresis , u-umlaut )
0b1000_0010        0202        130        0x82         : character = é ( letter e with acute accent or e-acute )
0b1000_0011        0203        131        0x83         : character = â ( letter a with circumflex accent or a-circumflex )
0b1000_0100        0204        132        0x84         : character = ä ( letter a with umlaut or diaeresis , a-umlaut )
0b1000_0101        0205        133        0x85         : character = à ( letter a with grave accent )
0b1000_0110        0206        134        0x86         : character = å ( letter a with a ring )
0b1000_0111        0207        135        0x87         : character = ç ( Minuscule c-cedilla )
0b1000_1000        0210        136        0x88         : character = ê ( letter e with circumflex accent or e-circumflex )
0b1000_1001        0211        137        0x89         : character = ë ( letter e with umlaut or diaeresis ; e-umlauts )
0b1000_1010        0212        138        0x8a         : character = è ( letter e with grave accent )
0b1000_1011        0213        139        0x8b         : character = ï ( letter i with umlaut or diaeresis ; i-umlaut )
0b1000_1100        0214        140        0x8c         : character = î ( letter i with circumflex accent or i-circumflex )
0b1000_1101        0215        141        0x8d         : character = ì ( letter i with grave accent )
0b1000_1110        0216        142        0x8e         : character = Ä ( letter A with umlaut or diaeresis ; A-umlaut )
0b1000_1111        0217        143        0x8f         : character = Å ( Capital letter A with a ring )
0b1001_0000        0220        144        0x90         : character = É ( Capital letter E with acute accent or E-acute )
0b1001_0001        0221        145        0x91         : character = æ ( Latin diphthong ae in lowercase )
0b1001_0010        0222        146        0x92         : character = Æ ( Latin diphthong AE in uppercase )
0b1001_0011        0223        147        0x93         : character = ô ( letter o with circumflex accent or o-circumflex )
0b1001_0100        0224        148        0x94         : character = ö ( letter o with umlaut or diaeresis ; o-umlaut )
0b1001_0101        0225        149        0x95         : character = ò ( letter o with grave accent )
0b1001_0110        0226        150        0x96         : character = û ( letter u with circumflex accent or u-circumflex )
0b1001_0111        0227        151        0x97         : character = ù ( letter u with grave accent )
0b1001_1000        0230        152        0x98         : character = ÿ ( Lowercase letter y with diaeresis )
0b1001_1001        0231        153        0x99         : character = Ö ( Letter O with umlaut or diaeresis ; O-umlaut )
0b1001_1010        0232        154        0x9a         : character = Ü ( Letter U with umlaut or diaeresis ; U-umlaut )
0b1001_1011        0233        155        0x9b         : character = ø ( Lowercase slashed zero or empty set )
0b1001_1100        0234        156        0x9c         : character = £ ( Pound sign ; symbol for the pound sterling )
0b1001_1101        0235        157        0x9d         : character = Ø ( Uppercase slashed zero or empty set )
0b1001_1110        0236        158        0x9e         : character = × ( Multiplication sign )
0b1001_1111        0237        159        0x9f         : character = ƒ ( Function sign ; f with hook sign ; florin sign )
0b1010_0000        0240        160        0xa0         : character  = á ( Lowercase letter a with acute accent or a-acute )
0b1010_0001        0241        161        0xa1         : character ¡= í ( Lowercase letter i with acute accent or i-acute )
0b1010_0010        0242        162        0xa2         : character ¢= ó ( Lowercase letter o with acute accent or o-acute )
0b1010_0011        0243        163        0xa3         : character £= ú ( Lowercase letter u with acute accent or u-acute )
0b1010_0100        0244        164        0xa4         : character ¤= ñ ( eñe, enie, spanish letter enye, lowercase n with tilde )
0b1010_0101        0245        165        0xa5         : character ¥= Ñ ( Spanish letter enye, uppercase N with tilde, EÑE, enie )
0b1010_0110        0246        166        0xa6         : character ¦= ª ( feminine ordinal indicator )
0b1010_0111        0247        167        0xa7         : character §= º ( masculine ordinal indicator )
0b1010_1000        0250        168        0xa8         : character ¨= ¿ ( Inverted question marks )
0b1010_1001        0251        169        0xa9         : character ©= ® ( Registered trademark symbol )
0b1010_1010        0252        170        0xaa         : character ª= ¬ ( Logical negation symbol )
0b1010_1011        0253        171        0xab         : character «= ½ ( One half )
0b1010_1100        0254        172        0xac         : character ¬= ¼ ( Quarter, one fourth )
0b1010_1101        0255        173        0xad         : character ­= ¡ ( Inverted exclamation marks )
0b1010_1110        0256        174        0xae         : character ®= « ( Angle quotes, guillemets, right-pointing quotation mark )
0b1010_1111        0257        175        0xaf         : character ¯= » ( Guillemets, angle quotes, left-pointing quotation marks )
0b1011_0000        0260        176        0xb0         : character °= ░ ( Graphic character, low density dotted )
0b1011_0001        0261        177        0xb1         : character ±= ▒ ( Graphic character, medium density dotted )
0b1011_0010        0262        178        0xb2         : character ²= ▓ ( Graphic character, high density dotted )
0b1011_0011        0263        179        0xb3         : character ³= │ ( Box drawing character single vertical line )
0b1011_0100        0264        180        0xb4         : character ´= ┤ ( Box drawing character single vertical and left line )
0b1011_0101        0265        181        0xb5         : character µ= Á ( Capital letter A with acute accent or A-acute )
0b1011_0110        0266        182        0xb6         : character ¶= Â ( Letter A with circumflex accent or A-circumflex )
0b1011_0111        0267        183        0xb7         : character ·= À ( Letter A with grave accent )
0b1011_1000        0270        184        0xb8         : character ¸= © ( Copyright symbol )
0b1011_1001        0271        185        0xb9         : character ¹= ╣ ( Box drawing character double line vertical and left )
0b1011_1010        0272        186        0xba         : character º= ║ ( Box drawing character double vertical line )
0b1011_1011        0273        187        0xbb         : character »= ╗ ( Box drawing character double line upper right corner )
0b1011_1100        0274        188        0xbc         : character ¼= ╝ ( Box drawing character double line lower right corner )
0b1011_1101        0275        189        0xbd         : character ½= ¢ ( Cent symbol )
0b1011_1110        0276        190        0xbe         : character ¾= ¥ ( YEN and YUAN sign )
0b1011_1111        0277        191        0xbf         : character ¿= ┐ ( Box drawing character single line upper right corner )
0b1100_0000        0300        192        0xc0         : character À= └ ( Box drawing character single line lower left corner )
0b1100_0001        0301        193        0xc1         : character Á= ┴ ( Box drawing character single line horizontal and up )
0b1100_0010        0302        194        0xc2         : character Â= ┬ ( Box drawing character single line horizontal down )
0b1100_0011        0303        195        0xc3         : character Ã= ├ ( Box drawing character single line vertical and right )
0b1100_0100        0304        196        0xc4         : character Ä= ─ ( Box drawing character single horizontal line )
0b1100_0101        0305        197        0xc5         : character Å= ┼ ( Box drawing character single line horizontal vertical )
0b1100_0110        0306        198        0xc6         : character Æ= ã ( Lowercase letter a with tilde or a-tilde )
0b1100_0111        0307        199        0xc7         : character Ç= Ã ( Capital letter A with tilde or A-tilde )
0b1100_1000        0310        200        0xc8         : character È= ╚ ( Box drawing character double line lower left corner )
0b1100_1001        0311        201        0xc9         : character É= ╔ ( Box drawing character double line upper left corner )
0b1100_1010        0312        202        0xca         : character Ê= ╩ ( Box drawing character double line horizontal and up )
0b1100_1011        0313        203        0xcb         : character Ë= ╦ ( Box drawing character double line horizontal down )
0b1100_1100        0314        204        0xcc         : character Ì= ╠ ( Box drawing character double line vertical and right )
0b1100_1101        0315        205        0xcd         : character Í= ═ ( Box drawing character double horizontal line )
0b1100_1110        0316        206        0xce         : character Î= ╬ ( Box drawing character double line horizontal vertical )
0b1100_1111        0317        207        0xcf         : character Ï= ¤ ( Generic currency sign )
0b1101_0000        0320        208        0xd0         : character Ð= ð ( Lowercase letter eth )
0b1101_0001        0321        209        0xd1         : character Ñ= Ð ( Capital letter Eth )
0b1101_0010        0322        210        0xd2         : character Ò= Ê ( Letter E with circumflex accent or E-circumflex )
0b1101_0011        0323        211        0xd3         : character Ó= Ë ( Letter E with umlaut or diaeresis, E-umlaut )
0b1101_0100        0324        212        0xd4         : character Ô= È ( Capital letter E with grave accent )
0b1101_0101        0325        213        0xd5         : character Õ= ı ( Lowercase dot less i )
0b1101_0110        0326        214        0xd6         : character Ö= Í ( Capital letter I with acute accent or I-acute )
0b1101_0111        0327        215        0xd7         : character ×= Î ( Letter I with circumflex accent or I-circumflex )
0b1101_1000        0330        216        0xd8         : character Ø= Ï ( Letter I with umlaut or diaeresis ; I-umlaut )
0b1101_1001        0331        217        0xd9         : character Ù= ┘ ( Box drawing character single line lower right corner )
0b1101_1010        0332        218        0xda         : character Ú= ┌ ( Box drawing character single line upper left corner )
0b1101_1011        0333        219        0xdb         : character Û= █ ( Block, graphic character )
0b1101_1100        0334        220        0xdc         : character Ü= ▄ ( Bottom half block )
0b1101_1101        0335        221        0xdd         : character Ý= ¦ ( Vertical broken bar )
0b1101_1110        0336        222        0xde         : character Þ= Ì ( Capital letter I with grave accent )
0b1101_1111        0337        223        0xdf         : character ß= ▀ ( Top half block )
0b1110_0000        0340        224        0xe0         : character à= Ó ( Capital letter O with acute accent or O-acute )
0b1110_0001        0341        225        0xe1         : character á= ß ( Letter Eszett ; scharfes S or sharp S )
0b1110_0010        0342        226        0xe2         : character â= Ô ( Letter O with circumflex accent or O-circumflex )
0b1110_0011        0343        227        0xe3         : character ã= Ò ( Capital letter O with grave accent )
0b1110_0100        0344        228        0xe4         : character ä= õ ( Lowercase letter o with tilde or o-tilde )
0b1110_0101        0345        229        0xe5         : character å= Õ ( Capital letter O with tilde or O-tilde )
0b1110_0110        0346        230        0xe6         : character æ= µ ( Lowercase letter Mu ; micro sign or micron )
